Building Name,ADDRESS
SOUTH STUDIO 3 (GLASS SCULPTURE BUILDING,2116 GRIFFITH DR. CHAMPAIGN IL
TEMPLE HOYNE BUELL HALL,1400 W. PEABODY DR. CHAMPAIGN IL
902 W. CALIFORNIA,902 W. CALIFORNIA URBANA IL
VET MED FEED STORAGE BUILDING,2105 S. LINCOLN URBANA IL
TELECOMMUNICATIONS NODE #1,1211 W. WESTERN URBANA IL
BUILDING RESEARCH LABORATORY,1806 GRIFFITH DR. CHAMPAIGN IL
"1009 W SPRINGFIELD, URBANA",1009 W. SPRINGFIELD AVE. URBANA IL
501 S. WRIGHT,501 S. WRIGHT ST. CHAMPAIGN IL
MOTORCYCLE SAFETY OFFICE,4 GERTY DR. CHAMPAIGN IL
VET MED BASIC SCIENCES BUILDING,2001 S. LINCOLN URBANA IL
VETERINARY MEDICINE CHILLER PLANT,2004 S. LINCOLN URBANA IL
505 E GREEN,505 E. GREEN CHAMPAIGN IL
JAPAN HOUSE,2000 S. LINCOLN URBANA IL
TOWER ON 3RD,302 E. JOHN CHAMPAIGN IL
"1004 S FOURTH, C-POLICE TRAINING INS",1004 S. FOURTH ST. CHAMPAIGN IL
"1400 W PARK, URBANA - CLINICAL MED",1400 W. PARK URBANA IL
ATKINS TENNIS CENTER,1800 S. WRIGHT URBANA IL
"510 E DANIEL, CHAMPAIGN",510 E. DANIEL CHAMPAIGN IL
606 S. GREGORY,606 S. GREGORY ST. URBANA IL
CAMPUS RECREATION CENTER - EAST,1102 W. GREGORY DR. URBANA IL
"907 1/2 W NEVADA, URBANA",907 1/2 W. NEVADA URBANA IL
SOUTH STUDIO 4 (CERAMICS FACILITY),2110 GRIFFITH DR. CHAMPAIGN IL
"901 W OREGON, URBANA",901 W. OREGON URBANA IL
1307 W. PARK,1307 W. PARK URBANA IL
INTERNATIONAL STUDIES BUILDING,910 S. FIFTH ST. CHAMPAIGN IL
SOUTH STUDIO 5 (GRADUATE PHOTOGRAPHY),2108 GRIFFITH DR. CHAMPAIGN IL
SOUTH STUDIO 7 (GENERAL ARTS BUILDING),2111 GRIFFITH DR. CHAMPAIGN IL
SPECIAL MATERIALS STORAGE FACILITY,3 HAZELWOOD DR. CHAMPAIGN IL
SPURLOCK MUSEUM,600 S. GREGORY ST. URBANA IL
HARTLEY GARDENS,1800 S. LINCOLN URBANA IL
SOUTH STUDIO 6 (GRADUATE PAINTING FAC.),2109 GRIFFITH DR. CHAMPAIGN IL
CAMPBELL HALL,300 GOODWIN URBANA IL
"ACES LIBRARY, INFO. & ALUMNI CENTER",1101 S GOODWIN URBANA IL
ADMISSIONS AND RECORDS BUILDING,901 W. ILLINOIS URBANA IL
BIELFELDT ATHLETIC ADMINISTRATION BL,1700 S. FOURTH ST. CHAMPAIGN IL
CAMPUS RECREATION OUTDOOR CENTER,51 E. GREGORY DR. CHAMPAIGN IL
IRWIN ACADEMIC SERVICE CENTER,402 E. ARMORY CHAMPAIGN IL
MATHEWS AVE SEWAGE LIFT STATION,N. MATHEWS AVE. URBANA IL
SELF-SERVICE POSTAL STATION,1208 W. GREGORY DR. URBANA IL
ORCHARD DOWNS SEWAGE LIFT STATION,1108 GERTY DR. URBANA IL
FUEL OIL STORAGE TANKS,1717 S OAK STREET CHAMPAIGN IL
PHYSICAL PLANT STRG SALT SHED,1501 S OAK STREET CHAMPAIGN IL
SOILS MODEL TEST FACILITY - SCHNABEL,1412 INTERSTATE DRIVE CHAMPAIGN IL
ANIMAL SCIENCE CHILLER PLANT,1201 W. GREGORY DR. CHAMPAIGN IL
MORROW PLOTS,1400 W. GREGORY DR. URBANA IL
